zip,lat,lng,city,state_id,state_name,population,density,county_fips,county_name,timezone
00601,18.18027,-66.75266,Adjuntas,PR,Puerto Rico,16834,100.9,72001,Adjuntas,America/Puerto_Rico
00602,18.36075,-67.17541,Aguada,PR,Puerto Rico,37642,479.2,72003,Aguada,America/Puerto_Rico
00603,18.45744,-67.12225,Aguadilla,PR,Puerto Rico,49075,551.7,72005,Aguadilla,America/Puerto_Rico
00606,18.16585,-66.93716,Maricao,PR,Puerto Rico,5590,48.7,72093,Maricao,America/Puerto_Rico
00610,18.2911,-67.12243,Anasco,PR,Puerto Rico,25542,265.7,72011,Añasco,America/Puerto_Rico
00611,18.27698,-66.80688,Angeles,PR,Puerto Rico,1315,47.7,72141,Utuado,America/Puerto_Rico
00612,18.41283,-66.7051,Arecibo,PR,Puerto Rico,63312,321.1,72013,Arecibo,America/Puerto_Rico
00616,18.41878,-66.6679,Bajadero,PR,Puerto Rico,9625,341.4,72013,Arecibo,America/Puerto_Rico
00617,18.44598,-66.56006,Barceloneta,PR,Puerto Rico,22573,474.8,72017,Barceloneta,America/Puerto_Rico
00622,17.98892,-67.1566,Boqueron,PR,Puerto Rico,7577,93.9,72023,Cabo Rojo,America/Puerto_Rico
00623,18.08429,-67.15336,Cabo Rojo,PR,Puerto Rico,39406,388.1,72023,Cabo Rojo,America/Puerto_Rico
00624,18.05905,-66.71932,Penuelas,PR,Puerto Rico,21648,178,72111,Peñuelas,America/Puerto_Rico
00627,18.41905,-66.86037,Camuy,PR,Puerto Rico,32733,272.6,72027,Camuy,America/Puerto_Rico
00631,18.1852,-66.83169,Castaner,PR,Puerto Rico,1431,176.8,72081,Lares,America/Puerto_Rico
00636,18.16354,-67.08014,Rosario,PR,Puerto Rico,1057,1112.8,72125,San Germán,America/Puerto_Rico
00637,18.081,-66.94659,Sabana Grande,PR,Puerto Rico,22882,251.2,72121,Sabana Grande,America/Puerto_Rico
